QUANTITYORDERED,PRICEEACH,QTR_ID,PRODUCTLINE_Classic Cars,PRODUCTLINE_Motorcycles,PRODUCTLINE_Planes,PRODUCTLINE_Ships,PRODUCTLINE_Trains,PRODUCTLINE_Trucks and Buses,PRODUCTLINE_Vintage Cars,Cluster GMM
30.0,95.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
34.0,81.35,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
41.0,94.74,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
45.0,83.26,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
49.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
36.0,96.66,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
29.0,86.13,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
48.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
22.0,98.57,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
41.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
37.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
23.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
28.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
34.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
45.0,92.83,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
36.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
23.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
41.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
46.0,94.74,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
42.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
41.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
20.0,72.55,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
21.0,34.91,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
42.0,76.36,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
24.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
66.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
26.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
29.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
38.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
37.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
